States,Jan & July Public Assist. Participation,Jan & July Non-Public Assist. Participation,Jan & July TOTAL Assist. Participation,Counties
NC,538,2658,3196,Sevier County
NC,384,2501,2885,Shelby County
NC,2532,11166,13698,Smith County
NC,23427,119155,142582,Stewart County
NC,6192,24379,30571,Sullivan County
NC,5283,30347,35630,Sumner County
NC,3285,14762,18047,Tipton County
TN,2120,12720,14840,Trousdale County
NC,3004,11933,14937,Unicoi County
TN,1839,9891,11730,Union County
NC,2321,9136,11457,Van Buren County
NC,2507,14274,16781,Warren County
NC,391,1438,1829,Washington County
NC,3935,26977,30912,Wayne County
NC,7054,39242,46296,Weakley County
NC,555,3422,3977,White County
NC,2178,15484,17662,Williamson County
NC,4355,21200,25555,Wilson County
NC,2325,12185,14510,Anderson County
NC,1268,9341,10609,Andrews County
NC,1088,6083,7171,Angelina County
NC,53940,200179,254119,Aransas County
NC,1689,8167,9856,Archer County
NC,2457,15874,18331,Armstrong County
TN,827,9092,9919,Atascosa County
NC,1852,8347,10199,Austin County
TN,222,1565,1787,Bailey County
NC,5448,25095,30543,Bandera County
NC,8617,35295,43912,Bastrop County
NC,2529,8618,11147,Baylor County
NC,5227,24985,30212,Bee County
NC,3435,15437,18872,Bell County
NC,607,3096,3703,Bexar County
NC,2229,10865,13094,Blanco County
NC,2186,12640,14826,Borden County
NC,695,4061,4756,Bosque County
NC,2308,10863,13171,Bowie County
NC,8576,44228,52804,Brazoria County
NC,542,4211,4753,Brazos County
TN,506,5785,6291,Brewster County
NC,744,5445,6189,Briscoe County
TN,708,7019,7727,Brooks County
NC,4057,18415,22472,Brown County
VA,1698,10680,12378,Burleson County
NC,2739,10040,12779,Burnet County
VA,380,2305,2685,Caldwell County
NC,12693,62274,74967,Calhoun County
NC,5590,23786,29376,Callahan County
NC,3615,22029,25644,Cameron County
TN,4188,45283,49471,Camp County
NC,5570,42489,48059,Carson County
TN,6143,65743,71886,Cass County
NC,4921,19401,24322,Castro County
NC,4073,16092,20165,Chambers County
NC,2461,15197,17658,Cherokee County
NC,1809,8904,10713,Childress County
NC,3566,20994,24560,Clay County
NC,705,4968,5673,Cochran County
NC,1231,7838,9069,Coke County
NC,227,1533,1760,Coleman County
NC,4857,21324,26181,Collin County
NC,22766,112212,134978,Collingsworth County
NC,1626,7448,9074,Colorado County
NC,867,5609,6476,Comal County
NC,1152,8749,9901,Comanche County
NC,913,5913,6826,Concho County
ND,190,15,205,Cooke County
ND,1657,187,1844,Coryell County
ND,3737,371,4108,Cottle County
ND,905,128,1033,Crane County
ND,247,44,291,Crockett County
ND,164,21,185,Crosby County
ND,9726,1742,11468,Culberson County
ND,19788,3136,22924,Dallam County
ND,406,55,461,Dallas County
ND,671,87,758,Dawson County
ND,217,28,245,Deaf Smith County
ND,287,34,321,Delta County
ND,323,59,382,Denton County
ND,297,65,362,DeWitt County
ND,314,26,340,Dickens County
ND,286,10,296,Dimmit County
ND,10438,1269,11707,Donley County
ND,374,64,438,Duval County
ND,292,51,343,Eastland County
ND,237,31,268,Ector County
ND,276,47,323,Edwards County
ND,401,54,455,Ellis County
ND,179,10,189,El Paso County
ND,727,90,817,Erath County
ND,266,47,313,Falls County
ND,1139,79,1218,Fannin County
ND,907,131,1038,Fayette County
ND,784,116,900,Fisher County
ND,4407,698,5105,Floyd County
ND,1223,128,1351,Foard County
ND,371,46,417,Fort Bend County
ND,131,25,156,Franklin County
ND,814,120,934,Freestone County
ND,605,137,742,Frio County
ND,2431,378,2809,Gaines County
ND,709,96,805,Galveston County
ND,237,29,266,Garza County
ND,2590,267,2857,Gillespie County
ND,10013,1675,11688,Glasscock County
ND,308,31,339,Goliad County
ND,316,48,364,Gonzales County
ND,3370,467,3837,Gray County
ND,3275,533,3808,Grayson County
ND,199,8,207,Gregg County
ND,3311,677,3988,Grimes County
ND,250,29,279,Guadalupe County
ND,1188,105,1293,Hale County
ND,1952,183,2135,Hall County
ND,9034,1298,10332,Hamilton County
ND,522,122,644,Hansford County
ND,2229,365,2594,Hardeman County
OH,4743,24096,28839,Hardin County
OH,1260,9709,10969,Harris County
OH,8462,29690,38152,Harrison County
OH,4985,14602,19587,Hartley County
OH,952,7188,8140,Haskell County
OH,4391,14800,19191,Hays County
OH,1828,11568,13396,Hemphill County
OH,1666,7961,9627,Henderson County
OH,5405,32191,37596,Hidalgo County
OH,6211,27326,33537,Hill County
OH,2041,10679,12720,Hockley County
OH,69295,361041,430336,Hood County
OH,34494,197215,231709,Hopkins County
OH,34801,208164,242965,Houston County
OH,0,44338,44338,Howard County
OH,1256,7825,9081,Hudspeth County
OH,1274,8817,10091,Hunt County
OH,2995,11829,14824,Hutchinson County
OH,3359,17074,20433,Irion County
OH,4976,28949,33925,Jack County
OH,911,6711,7622,Jackson County
OH,3689,9376,13065,Jasper County
OH,1179,5363,6542,Jeff Davis County
OH,2665,12792,15457,Jefferson County
OH,45228,190031,235259,Jim Hogg County
OH,2797,14085,16882,Jim Wells County
OH,2149,8633,10782,Johnson County
OH,426,3402,3828,Jones County
OH,2162,14139,16301,Karnes County
OH,2741,11908,14649,Kaufman County
OH,7396,30976,38372,Kendall County
OH,7295,19227,26522,Kenedy County
OH,6897,32840,39737,Kent County
OH,1800,11788,13588,Kerr County
OH,16240,61288,77528,Kimble County
OH,21658,64411,86069,King County
OH,3551,18770,22321,Kinney County
OH,3110,15841,18951,Kleberg County
OH,2566,7993,10559,Knox County
OH,942,4955,5897,Lamar County
OH,2775,14225,17000,Lamb County
OH,1052,3879,4931,Lampasas County
OH,1585,8056,9641,La Salle County
OH,6717,30359,37076,Lavaca County
OH,559,2422,2981,Lee County
OH,1337,6096,7433,Leon County
OH,814,4326,5140,Liberty County
OH,2775,11478,14253,Limestone County
OH,3147,12470,15617,Lipscomb County
OH,2847,11534,14381,Live Oak County
OH,5014,25922,30936,Llano County
OH,1613,7640,9253,Loving County
OH,598,4213,4811,Lubbock County
OH,6734,31083,37817,Lynn County
OH,5737,24533,30270,McCulloch County
OH,1936,11424,13360,McLennan County
OH,9520,28174,37694,McMullen County
OH,1884,14096,15980,Madison County
OH,21631,83222,104853,Marion County
OH,36784,117363,154147,Martin County
OH,11801,48009,59810,Mason County
OH,4365,20990,25355,Matagorda County
OH,812,5196,6008,Maverick County
OH,1405,5997,7402,Medina County
OH,2929,15654,18583,Menard County
OH,1441,8514,9955,Midland County
OH,2618,13017,15635,Milam County
OH,536,3259,3795,Mills County
OK,240,12941,13181,Mitchell County
OK,2,1040,1042,Montague County
OK,92,5513,5605,Montgomery County
OK,7,746,753,Moore County
OK,227,7030,7257,Morris County
OK,117,3978,4095,Motley County
OK,194,12590,12784,Nacogdoches County
OK,336,11280,11616,Navarro County
OK,580,19119,19699,Newton County
OK,242,16720,16962,Nolan County
OK,263,15035,15298,Nueces County
TX,289,16617,16906,Ochiltree County
OK,250,17010,17260,Oldham County
TX,276,18592,18868,Orange County
OK,257,8155,8412,Palo Pinto County
OK,26,612,638,Panola County
OK,21,2046,2067,Parker County
OK,459,35241,35700,Parmer County
TX,274,19270,19544,Pecos County
OK,260,20233,20493,Polk County
TX,75,4262,4337,Potter County
OK,26,1689,1715,Presidio County
OK,85,5790,5875,Rains County
OK,190,23332,23522,Randall County
OK,61,7435,7496,Reagan County
OK,336,14973,15309,Real County
OK,0,667,667,Red River County
OK,3,789,792,Reeves County
TX,228,17472,17700,Refugio County
OK,266,15902,16168,Roberts County
TX,491,32585,33076,Robertson County
OK,146,20495,20641,Rockwall County
OK,63,9106,9169,Runnels County
OK,251,15795,16046,Rusk County
OK,44,2284,2328,Sabine County
OK,15,1247,1262,San Augustine County
OK,0,616,616,San Jacinto County
OK,242,5734,5976,San Patricio County
TX,161,3703,3864,San Saba County
OK,125,4115,4240,Schleicher County
TX,44,2084,2128,Scurry County
OK,54,4839,4893,Shackelford County
OK,48,4792,4840,Shelby County
OK,236,19158,19394,Sherman County
OK,61,2911,2972,Smith County
OK,103,3653,3756,Somervell County
OK,39,3955,3994,Starr County
OK,468,21344,21812,Stephens County
OK,77,3290,3367,Sterling County
OK,60,7315,7375,Stonewall County
OK,333,18375,18708,Sutton County
OK,113,8527,8640,Swisher County
OK,16,1170,1186,Tarrant County
OK,92,4727,4819,Taylor County
OK,111,14429,14540,Terrell County
OK,38,3868,3906,Terry County
OK,593,30351,30944,Throckmorton County
OK,29,3009,3038,Titus County
OK,42,3532,3574,Tom Green County
OK,108,4454,4562,Travis County
OK,6971,237658,244629,Trinity County
OK,158,19408,19566,Tyler County
OK,65,10699,10764,Upshur County
OK,51,13004,13055,Upton County
OK,39,5472,5511,Uvalde County
OK,189,16794,16983,Val Verde County
OK,172,12726,12898,Van Zandt County
OK,219,13354,13573,Victoria County
OK,353,30178,30531,Walker County
OK,146,4459,4605,Waller County
OK,2,490,492,Ward County
OK,235,20825,21060,Washington County
OK,255,13402,13657,Webb County
OK,249,20144,20393,Wharton County
OK,173,12839,13012,Wheeler County
TX,118,8194,8312,Wichita County
OK,103,8743,8846,Wilbarger County
TX,48,4098,4146,Willacy County
OK,67,4229,4296,Williamson County
OK,33,3342,3375,Wilson County
OK,3903,161491,165394,Winkler County
OK,251,13182,13433,Wise County
OK,24,3131,3155,Wood County
OK,62,1633,1695,Yoakum County
OK,122,5242,5364,Young County
OR,1273526,104616,1378142,Zapata County
OR,646397,55410,701807,Zavala County
OR,624160,54132,678292,Beaver County
OR,671470,51934,723404,Box Elder County
OR,44341,2728,47069,Cache County
OR,22104,1450,23554,Carbon County
OR,650426,50689,701115,Daggett County
OR,23297,1483,24780,Davis County
OR,1060,205,1265,Duchesne County
PA,79852,210884,290736,Emery County
PA,3314,16964,20278,Garfield County
PA,8746,38792,47538,Grand County
PA,1399,10553,11952,Iron County
PA,17725,93050,110775,Juab County
PA,6944,32273,39217,Kane County
PA,2816,12828,15644,Millard County
PA,10671,50987,61658,Morgan County
PA,5012,23600,28612,Piute County
PA,8317,31334,39651,Rich County
PA,271,1586,1857,Salt Lake County
PA,1476,13317,14793,San Juan County
PA,1879,14143,16022,Sanpete County
PA,5473,30548,36021,Sevier County
PA,1897,9112,11009,Summit County
PA,3932,23678,27610,Tooele County
PA,1364,8907,10271,Uintah County
PA,2143,12217,14360,Utah County
PA,5184,23454,28638,Wasatch County
PA,2933,23340,26273,Washington County
PA,12585,55963,68548,Wayne County
PA,21407,93814,115221,Weber County
PA,1236,5995,7231,Addison County
PA,22358,80654,103012,Bennington County
PA,14308,46552,60860,Caledonia County
PA,180,1097,1277,Chittenden County
PA,2943,23018,25961,Essex County
PA,442,3018,3460,Franklin County
PA,3327,10382,13709,Grand Isle County
PA,1339,9865,11204,Lamoille County
PA,3410,15658,19068,Orange County
PA,1793,11626,13419,Orleans County
PA,643,3801,4444,Rutland County
PA,11247,45724,56971,Washington County
PA,15573,78971,94544,Windham County
PA,6540,23358,29898,Windsor County
PA,3612,25301,28913,Accomack County
PA,13789,68896,82685,Albemarle County
PA,14319,80779,95098,Alleghany County
PA,5052,24950,30002,Amelia County
PA,3351,10577,13928,Amherst County
PA,8069,28921,36990,Appomattox County
PA,2532,11987,14519,Arlington County
PA,3717,37326,41043,Augusta County
PA,12544,61009,73553,Bath County
PA,814,2638,3452,Bedford County
PA,8934,46112,55046,Bland County
PA,2749,18518,21267,Botetourt County
PA,926,7132,8058,Brunswick County
PA,301663,519319,820982,Buchanan County
PA,881,9473,10354,Buckingham County
PA,766,4261,5027,Campbell County
PA,5442,33617,39059,Caroline County
PA,702,6078,6780,Carroll County
PA,2883,15156,18039,Charles City County
PA,181,879,1060,Charlotte County
PA,1449,7792,9241,Chesterfield County
PA,1416,7503,8919,Clarke County
PA,807,5341,6148,Craig County
PA,3254,14672,17926,Culpeper County
PA,1358,9113,10471,Cumberland County
PA,7930,37195,45125,Dickenson County
PA,1363,10331,11694,Dinwiddie County
PA,13073,65425,78498,Essex County
PA,1116,6023,7139,Fairfax County
PA,12452,72069,84521,Fauquier County
RI,65483,214069,279552,Floyd County
SC,930,7698,8628,Fluvanna County
SC,3818,51446,55264,Franklin County
SC,597,6615,7212,Frederick County
SC,977,7544,8521,Giles County
SC,1350,11284,12634,Gloucester County
SC,2338,31276,33614,Goochland County
SC,3098,48281,51379,Grayson County
SC,8418,84087,92505,Greene County
SC,1892,26699,28591,Greensville County
SC,1809,17821,19630,Halifax County
SC,1984,22200,24184,Hanover County
SC,2700,17481,20181,Henrico County
SC,1751,19075,20826,Henry County
SC,3690,32549,36239,Highland County
SC,1927,16785,18712,Isle of Wight County
SC,3554,34305,37859,James City County
SC,924,9110,10034,King and Queen County
SC,1098,11364,12462,King George County
SC,6232,58149,64381,King William County
WI,3222,28970,32192,Lancaster County
SC,3129,30265,33394,Lee County
WI,119,1086,1205,Loudoun County
SC,1983,23261,25244,Louisa County
SC,7808,116083,123891,Lunenburg County
SC,2031,26097,28128,Madison County
SC,858,10446,11304,Mathews County
SC,6519,91535,98054,Mecklenburg County
SC,847,11650,12497,Middlesex County
SC,1572,20834,22406,Montgomery County
SC,2615,31327,33942,Nelson County
SC,2317,25093,27410,New Kent County
SC,1315,11163,12478,Northampton County
VA,2180,9979,12159,Northumberland County
SC,2136,10052,12188,Nottoway County
VA,3001,8868,11869,Orange County
SC,5024,64666,69690,Page County
SC,435,3209,3644,Patrick County
SC,2005,18171,20176,Pittsylvania County
SC,1604,12969,14573,Powhatan County
SC,1438,13797,15235,Prince Edward County
SC,1265,20604,21869,Prince George County
SC,5380,48732,54112,Prince William County
SC,2015,28926,30941,Pulaski County
SC,555,6595,7150,Rappahannock County
SC,6876,69454,76330,Richmond County
SC,4796,45803,50599,Roanoke County
SC,1043,10503,11546,Rockbridge County
SC,2663,19211,21874,Rockingham County
SC,3672,57668,61340,Russell County
SD,11,343,354,Scott County
SD,12,4174,4186,Shenandoah County
SD,87,2664,2751,Smyth County
SD,2,973,975,Southampton County
SD,59,3113,3172,Spotsylvania County
SD,77,5832,5909,Stafford County
SD,49,2451,2500,Surry County
SD,31,2772,2803,Sussex County
SD,0,73,73,Tazewell County
SD,159,3915,4074,Warren County
SD,2,385,387,Washington County
SD,84,2615,2699,Westmoreland County
SD,76,4559,4635,Wise County
SD,55,2851,2906,Wythe County
SD,17,973,990,York County
SD,120,4110,4230,Alexandria city
SD,0,1179,1179,Bristol city
SD,0,428,428,Buena Vista city
SD,117,4273,4390,Charlottesville city
SD,2,316,318,Chesapeake city
SD,6,365,371,Colonial Heights city
SD,31,1438,1469,Covington city
SD,0,164,164,Danville city
SD,15,968,983,Emporia city
SD,22,1014,1036,Fairfax city
SD,2,151,153,Falls Church city
SD,0,795,795,Franklin city
SD,0,241,241,Fredericksburg city
SD,3,153,156,Galax city
SD,0,100,100,Hampton city
SD,96,3142,3238,Harrisonburg city
SD,4,895,899,Hopewell city
SD,0,150,150,Lexington city
SD,94,2026,2120,Lynchburg city
SD,0,283,283,Manassas city
SD,0,88,88,Manassas Park city
SD,0,497,497,Martinsville city
SD,27,1684,1711,Newport News city
SD,82,3940,4022,Norfolk city
SD,2,2020,2022,Norton city
SD,41,1305,1346,Petersburg city
SD,8,814,822,Poquoson city
SD,0,269,269,Portsmouth city
SD,0,592,592,Radford city
SD,48,3473,3521,Richmond city
SD,26,1453,1479,Roanoke city
SD,2,341,343,Salem city
SD,792,39752,40544,Staunton city
SD,15,1057,1072,Suffolk city
SD,320,29067,29387,Virginia Beach city
SD,2,349,351,Waynesboro city
SD,0,162,162,Williamsburg city
SD,9,3575,3584,Winchester city
SD,0,300,300,Adams County
SD,570,14606,15176,Asotin County
SD,2,670,672,Benton County
SD,10,385,395,Chelan County
SD,0,67,67,Clallam County
SD,301,9871,10172,Clark County
SD,35,1655,1690,Columbia County
SD,7,1343,1350,Cowlitz County
SD,24,1596,1620,Douglas County
SD,17,1376,1393,Ferry County
SD,61,4663,4724,Franklin County
SD,76,2118,2194,Garfield County
TN,2220,18924,21144,Grant County
TN,766,6771,7537,Grays Harbor County
TN,634,6184,6818,Island County
TN,3778,33372,37150,Jefferson County
TN,3670,34787,38457,King County
TN,554,5768,6322,Kitsap County
TN,961,11276,12237,Kittitas County
TN,1042,6168,7210,Klickitat County
TN,2343,14331,16674,Lewis County
TN,2500,19960,22460,Lincoln County
TN,692,5746,6438,Mason County
TN,35150,196555,231705,Okanogan County
TN,1825,16854,18679,Pacific County
TN,2460,17256,19716,Pend Oreille County
TN,1519,10028,11547,Pierce County
TN,3571,18785,22356,San Juan County
TN,1439,10235,11674,Skagit County
TN,1060,9214,10274,Skamania County
TN,2490,22733,25223,Snohomish County
TN,19001,91836,110837,Spokane County
TN,1810,12147,13957,Stevens County
TN,2976,22150,25126,Thurston County
TN,462,3003,3465,Wahkiakum County
TN,671,6347,7018,Walla Walla County
TN,2328,13537,15865,Whatcom County
TN,1051,12794,13845,Whitman County
TN,2274,19263,21537,Yakima County
TN,1658,13358,15016,Barbour County
TN,3433,28614,32047,Berkeley County
TN,565,6108,6673,Boone County
TN,1368,11680,13048,Braxton County
TN,1163,8523,9686,Brooke County
TN,254,1781,2035,Cabell County
TN,1915,14785,16700,Calhoun County
TN,2443,14640,17083,Clay County
TN,845,6830,7675,Doddridge County
TN,2598,29334,31932,Fayette County
TN,111901,372793,484694,Gilmer County
TN,506,3949,4455,Grant County
TN,8045,45425,53470,Greenbrier County
TN,3469,22662,26131,Hampshire County
TN,302,3064,3366,Hancock County
TN,943,6645,7588,Hardy County
TN,205,2453,2658,Harrison County
TN,1465,12239,13704,Jackson County
TN,2528,26241,28769,Jefferson County
TX,252,14394,14646,Kanawha County
TX,35,3672,3707,Lewis County
TX,398,32858,33256,Lincoln County
TX,124,7520,7644,Logan County
TX,6,346,352,McDowell County
TX,0,127,127,Marion County
TX,300,18042,18342,Marshall County
TX,80,6057,6137,Mason County
TX,23,2772,2795,Mercer County
TX,66,3650,3716,Mineral County
TX,457,21231,21688,Mingo County
TX,6,1200,1206,Monongalia County
TX,262,10851,11113,Monroe County
TX,2963,78728,81691,Morgan County
TX,8621,547847,556468,Nicholas County
TX,4,1605,1609,Ohio County
TX,0,10,10,Pendleton County
TX,61,5156,5217,Pleasants County
TX,707,32544,33251,Pocahontas County
TX,776,57198,57974,Preston County
TX,667,39082,39749,Putnam County
TX,26,1873,1899,Raleigh County
TX,0,277,277,Randolph County
TX,109,5728,5837,Ritchie County
TX,198,11949,12147,Roane County
TX,79,4983,5062,Summers County
TX,132,9414,9546,Taylor County
TX,390,12732,13122,Tucker County
TX,44,3371,3415,Tyler County
TX,3892,239316,243208,Upshur County
TX,89,5533,5622,Wayne County
TX,130,11860,11990,Webster County
TX,21,3075,3096,Wetzel County
TX,30,5400,5430,Wirt County
TX,37,2101,2138,Wood County
TX,17,1321,1338,Wyoming County
TX,0,221,221,Adams County
TX,39,3332,3371,Ashland County
TX,777,60320,61097,Barron County
TX,17,896,913,Bayfield County
TX,48,5536,5584,Brown County
TX,114,17719,17833,Buffalo County
TX,6,559,565,Burnett County
TX,83,8601,8684,Calumet County
TX,307,14219,14526,Chippewa County
TX,14,530,544,Clark County
TX,0,394,394,Columbia County
TX,27,918,945,Crawford County
TX,27,3357,3384,Dane County
TX,8,1032,1040,Dodge County
TX,16,1876,1892,Door County
TX,57,5159,5216,Douglas County
TX,121,7454,7575,Dunn County
TX,41,1718,1759,Eau Claire County
TX,553,56623,57176,Florence County
TX,100,6801,6901,Fond du Lac County
TX,10,686,696,Forest County
TX,109,6751,6860,Grant County
TX,0,799,799,Green County
TX,73,6790,6863,Green Lake County
TX,80,6092,6172,Iowa County
TX,646,50299,50945,Iron County
TX,3,603,606,Jackson County
TX,7180,362197,369377,Jefferson County
TX,126,8162,8288,Juneau County
TX,202,6463,6665,Kenosha County
TX,50,7928,7978,Kewaunee County
TX,106,4706,4812,La Crosse County
TX,10,449,459,Lafayette County
TX,19,2101,2120,Langlade County
TX,16,287,303,Lincoln County
TX,740,63902,64642,Manitowoc County
TX,178,4711,4889,Marathon County
TX,126,8539,8665,Marinette County
TX,38,3666,3704,Marquette County
TX,1319,70464,71783,Menominee County
TX,48,1668,1716,Milwaukee County
TX,25,3662,3687,Monroe County
TX,0,24,24,Oconto County
TX,36,1539,1575,Oneida County
TX,59,7838,7897,Outagamie County
TX,49,5869,5918,Ozaukee County
TX,304,31775,32079,Pepin County
TX,544,38944,39488,Pierce County
TX,128,8207,8335,Polk County
TX,220,14805,15025,Portage County
TX,8,1521,1529,Price County
TX,35,2176,2211,Racine County
TX,11,1118,1129,Richland County
TX,34,1390,1424,Rock County
TX,197,14257,14454,Rusk County
TX,13037,1043675,1056712,St. Croix County
TX,349,22400,22749,Sauk County
TX,7,354,361,Sawyer County
TX,581,30188,30769,Shawano County
TX,8,389,397,Sheboygan County
TX,332,24483,24815,Taylor County
TX,151,10869,11020,Trempealeau County
TX,108,9232,9340,Vernon County
TX,170,10990,11160,Vilas County
TX,144,8828,8972,Walworth County
TX,257,8383,8640,Washburn County
TX,15,1298,1313,Washington County
TX,264,23250,23514,Waukesha County
TX,81,5026,5107,Waupaca County
TX,6,164,170,Waushara County
TX,7,963,970,Winnebago County
TX,142,14238,14380,Wood County
TX,10,228,238,Albany County
TX,28,3364,3392,Big Horn County
TX,380,19531,19911,Campbell County
TX,23,1187,1210,Carbon County
TX,54,5653,5707,Converse County
TX,484,26691,27175,Crook County
TX,25,3688,3713,Fremont County
TX,3,112,115,Goshen County
TX,0,71,71,Hot Springs County
TX,87,11455,11542,Johnson County
TX,8,963,971,Laramie County
TX,0,8,8,Lincoln County
TX,35,1121,1156,Natrona County
TX,328,13476,13804,Niobrara County
TX,19,1338,1357,Park County
TX,501,18520,19021,Platte County
TX,75,5527,5602,Sheridan County
TX,103,5436,5539,Sublette County
TX,109,3201,3310,Sweetwater County
TX,36,3936,3972,Teton County
TX,51,4160,4211,Uinta County
TX,402,26143,26545,Washakie County
TX,161,7367,7528,Weston County
