County,State,Life expectancy 2010
Butler County, Iowa,80.30
Calhoun County, Iowa,79.70
Carroll County, Iowa,80.36
Cass County, Iowa,78.84
Cedar County, Iowa,81.32
Cerro Gordo County, Iowa,79.41
Cherokee County, Iowa,80.08
Chickasaw County, Iowa,80.52
Clarke County, Iowa,78.76
Clay County, Iowa,80.19
Clayton County, Iowa,80.26
Clinton County, Iowa,78.52
Crawford County, Iowa,80.23
Dallas County, Iowa,81.27
Davis County, Iowa,79.77
Decatur County, Iowa,78.36
Delaware County, Iowa,80.91
Des Moines County, Iowa,79.02
Dickinson County, Iowa,81.16
Dubuque County, Iowa,79.97
Emmet County, Iowa,79.61
Fayette County, Iowa,79.84
Floyd County, Iowa,79.70
Franklin County, Iowa,80.12
Fremont County, Iowa,78.69
Greene County, Iowa,79.98
Grundy County, Iowa,81.21
Guthrie County, Iowa,80.06
Hamilton County, Iowa,80.38
Hancock County, Iowa,80.73
Hardin County, Iowa,79.68
Harrison County, Iowa,78.05
Henry County, Iowa,79.53
Howard County, Iowa,80.29
Humboldt County, Iowa,80.39
Ida County, Iowa,79.43
Iowa County, Iowa,80.74
Jackson County, Iowa,79.31
Jasper County, Iowa,79.65
Jefferson County, Iowa,80.28
Johnson County, Iowa,81.84
Jones County, Iowa,80.65
Keokuk County, Iowa,80.31
Kossuth County, Iowa,81.23
Lee County, Iowa,77.63
Linn County, Iowa,80.34
Louisa County, Iowa,79.29
Lucas County, Iowa,79.11
Lyon County, Iowa,80.90
Madison County, Iowa,79.57
Mahaska County, Iowa,80.10
Marion County, Iowa,79.39
Marshall County, Iowa,77.57
Mills County, Iowa,77.80
Mitchell County, Iowa,81.29
Monona County, Iowa,78.02
Monroe County, Iowa,77.94
Montgomery County, Iowa,78.40
Muscatine County, Iowa,78.99
O'Brien County, Iowa,80.25
Osceola County, Iowa,80.19
Page County, Iowa,78.76
Palo Alto County, Iowa,79.56
Plymouth County, Iowa,80.68
Pocahontas County, Iowa,79.74
Polk County, Iowa,78.96
Pottawattamie County, Iowa,78.02
Poweshiek County, Iowa,79.85
Ringgold County, Iowa,79.54
Sac County, Iowa,79.84
Scott County, Iowa,79.00
Shelby County, Iowa,80.87
Sioux County, Iowa,82.62
Story County, Iowa,82.01
Tama County, Iowa,79.60
Taylor County, Iowa,79.64
Union County, Iowa,78.74
Van Buren County, Iowa,78.58
Wapello County, Iowa,77.82
Warren County, Iowa,79.88
Washington County, Iowa,80.43
Wayne County, Iowa,78.40
Webster County, Iowa,77.86
Winnebago County, Iowa,80.65
Winneshiek County, Iowa,82.51
Woodbury County, Iowa,78.27
Worth County, Iowa,79.68
Wright County, Iowa,80.19
Allen County, Kansas,76.72
Anderson County, Kansas,78.70
Atchison County, Kansas,77.64
Barber County, Kansas,77.72
Barton County, Kansas,78.60
Bourbon County, Kansas,77.14
Brown County, Kansas,77.85
Butler County, Kansas,78.02
Chase County, Kansas,78.25
Chautauqua County, Kansas,77.29
Cherokee County, Kansas,75.22
Cheyenne County, Kansas,80.01
Clark County, Kansas,78.62
Clay County, Kansas,79.87
Cloud County, Kansas,78.60
Coffey County, Kansas,77.91
Comanche County, Kansas,77.04
Cowley County, Kansas,76.67
Crawford County, Kansas,76.85
Decatur County, Kansas,79.22
Dickinson County, Kansas,78.69
Doniphan County, Kansas,78.95
Douglas County, Kansas,80.47
Edwards County, Kansas,77.96
Elk County, Kansas,77.40
Ellis County, Kansas,79.67
Ellsworth County, Kansas,78.77
Finney County, Kansas,79.18
Ford County, Kansas,78.29
Franklin County, Kansas,77.94
Geary County, Kansas,76.80
Gove County, Kansas,79.64
Graham County, Kansas,79.73
Grant County, Kansas,78.16
Gray County, Kansas,79.24
Greeley County, Kansas,78.22
Greenwood County, Kansas,77.04
Hamilton County, Kansas,77.65
Harper County, Kansas,77.17
Harvey County, Kansas,79.34
Haskell County, Kansas,79.18
Hodgeman County, Kansas,79.84
Jackson County, Kansas,78.66
Jefferson County, Kansas,78.84
Jewell County, Kansas,79.85
Johnson County, Kansas,81.49
Kearny County, Kansas,77.72
Kingman County, Kansas,78.73
Kiowa County, Kansas,79.33
Labette County, Kansas,76.47
Lane County, Kansas,78.27
Leavenworth County, Kansas,78.63
Lincoln County, Kansas,79.16
Linn County, Kansas,77.54
Logan County, Kansas,78.80
Lyon County, Kansas,78.90
Marion County, Kansas,79.58
Marshall County, Kansas,80.09
McPherson County, Kansas,79.59
Meade County, Kansas,79.11
Miami County, Kansas,78.84
Mitchell County, Kansas,79.07
Montgomery County, Kansas,76.33
Morris County, Kansas,79.80
Morton County, Kansas,77.82
Nemaha County, Kansas,80.11
Neosho County, Kansas,77.46
Ness County, Kansas,79.45
Norton County, Kansas,79.33
Osage County, Kansas,77.87
Osborne County, Kansas,79.30
Ottawa County, Kansas,78.16
Pawnee County, Kansas,78.82
Phillips County, Kansas,78.40
Pottawatomie County, Kansas,79.74
Pratt County, Kansas,78.51
Rawlins County, Kansas,80.09
Reno County, Kansas,78.62
Republic County, Kansas,79.56
Rice County, Kansas,77.57
Riley County, Kansas,81.33
Rooks County, Kansas,78.57
Rush County, Kansas,79.27
Russell County, Kansas,78.85
Saline County, Kansas,78.46
Scott County, Kansas,78.42
Sedgwick County, Kansas,77.79
Seward County, Kansas,78.30
Shawnee County, Kansas,78.00
Sheridan County, Kansas,79.90
Sherman County, Kansas,78.30
Smith County, Kansas,79.65
Stafford County, Kansas,77.97
Stanton County, Kansas,78.55
Stevens County, Kansas,78.99
Sumner County, Kansas,77.27
Thomas County, Kansas,79.24
Trego County, Kansas,78.76
Wabaunsee County, Kansas,78.99
Wallace County, Kansas,79.42
Washington County, Kansas,80.20
Wichita County, Kansas,79.32
Wilson County, Kansas,76.50
Woodson County, Kansas,77.10
Wyandotte County, Kansas,75.19
Adair County, Kentucky,76.84
Allen County, Kentucky,76.03
Anderson County, Kentucky,77.27
Ballard County, Kentucky,75.71
Barren County, Kentucky,76.71
Bath County, Kentucky,74.67
Bell County, Kentucky,72.85
Boone County, Kentucky,78.70
Bourbon County, Kentucky,76.87
Boyd County, Kentucky,75.95
Boyle County, Kentucky,77.01
Bracken County, Kentucky,75.37
Breathitt County, Kentucky,70.88
Breckinridge County, Kentucky,76.29
Bullitt County, Kentucky,78.41
Butler County, Kentucky,75.83
Caldwell County, Kentucky,75.62
Calloway County, Kentucky,77.56
Campbell County, Kentucky,77.52
Carlisle County, Kentucky,76.62
Carroll County, Kentucky,74.25
Carter County, Kentucky,75.07
Casey County, Kentucky,75.21
Christian County, Kentucky,75.66
Clark County, Kentucky,76.06
Clay County, Kentucky,72.10
Clinton County, Kentucky,74.47
Crittenden County, Kentucky,75.34
Cumberland County, Kentucky,74.25
Daviess County, Kentucky,77.41
Edmonson County, Kentucky,77.57
Elliott County, Kentucky,75.75
Estill County, Kentucky,73.77
Fayette County, Kentucky,78.38
Fleming County, Kentucky,74.75
Floyd County, Kentucky,72.18
Franklin County, Kentucky,76.89
Fulton County, Kentucky,73.18
Gallatin County, Kentucky,73.65
Garrard County, Kentucky,77.72
Grant County, Kentucky,75.61
Graves County, Kentucky,76.15
Grayson County, Kentucky,75.18
Green County, Kentucky,77.32
Greenup County, Kentucky,76.11
Hancock County, Kentucky,77.16
Hardin County, Kentucky,77.16
Harlan County, Kentucky,71.77
Harrison County, Kentucky,75.82
Hart County, Kentucky,75.69
Henderson County, Kentucky,76.47
Henry County, Kentucky,76.17
Hickman County, Kentucky,76.63
Hopkins County, Kentucky,75.24
Jackson County, Kentucky,73.52
Jefferson County, Kentucky,76.97
Jessamine County, Kentucky,77.59
Johnson County, Kentucky,73.80
Kenton County, Kentucky,76.90
Knott County, Kentucky,73.31
Knox County, Kentucky,73.53
Larue County, Kentucky,76.84
Laurel County, Kentucky,75.46
Lawrence County, Kentucky,73.68
Lee County, Kentucky,72.25
Leslie County, Kentucky,71.73
Letcher County, Kentucky,72.64
Lewis County, Kentucky,74.90
Lincoln County, Kentucky,75.54
Livingston County, Kentucky,75.54
Logan County, Kentucky,75.95
Lyon County, Kentucky,76.72
Madison County, Kentucky,77.24
Magoffin County, Kentucky,73.00
Marion County, Kentucky,76.70
Marshall County, Kentucky,76.81
Martin County, Kentucky,72.70
Mason County, Kentucky,75.28
McCracken County, Kentucky,76.29
McCreary County, Kentucky,73.03
McLean County, Kentucky,75.69
Meade County, Kentucky,77.31
Menifee County, Kentucky,74.94
Mercer County, Kentucky,76.18
Metcalfe County, Kentucky,74.83
Monroe County, Kentucky,73.94
Montgomery County, Kentucky,76.13
Morgan County, Kentucky,75.76
Muhlenberg County, Kentucky,75.28
Nelson County, Kentucky,77.29
Nicholas County, Kentucky,74.27
Ohio County, Kentucky,76.18
Oldham County, Kentucky,79.43
Owen County, Kentucky,76.75
Owsley County, Kentucky,70.86
Pendleton County, Kentucky,75.74
Perry County, Kentucky,70.85
Pike County, Kentucky,72.61
Powell County, Kentucky,72.08
Pulaski County, Kentucky,75.56
Robertson County, Kentucky,75.26
Rockcastle County, Kentucky,74.50
Rowan County, Kentucky,75.98
Russell County, Kentucky,75.73
Scott County, Kentucky,78.13
Shelby County, Kentucky,78.30
Simpson County, Kentucky,75.97
Spencer County, Kentucky,77.62
Taylor County, Kentucky,76.25
Todd County, Kentucky,75.82
Trigg County, Kentucky,76.41
Trimble County, Kentucky,76.45
Union County, Kentucky,75.45
Warren County, Kentucky,77.23
Washington County, Kentucky,77.69
Wayne County, Kentucky,75.95
Webster County, Kentucky,75.39
Whitley County, Kentucky,73.07
Wolfe County, Kentucky,71.62
Woodford County, Kentucky,78.11
Acadia Parish, Louisiana,74.21
Allen Parish, Louisiana,76.97
Ascension Parish, Louisiana,77.19
Assumption Parish, Louisiana,76.65
Avoyelles Parish, Louisiana,74.18
Beauregard Parish, Louisiana,75.37
Bienville Parish, Louisiana,73.98
Bossier Parish, Louisiana,77.07
Caddo Parish, Louisiana,74.99
Calcasieu Parish, Louisiana,75.14
Caldwell Parish, Louisiana,73.42
Cameron Parish, Louisiana,78.16
Catahoula Parish, Louisiana,73.43
Claiborne Parish, Louisiana,75.57
Concordia Parish, Louisiana,74.00
De Soto Parish, Louisiana,74.78
East Baton Rouge Parish, Louisiana,76.32
East Carroll Parish, Louisiana,72.13
East Feliciana Parish, Louisiana,73.11
Evangeline Parish, Louisiana,73.93
Franklin Parish, Louisiana,73.89
Grant Parish, Louisiana,74.93
Iberia Parish, Louisiana,75.43
Iberville Parish, Louisiana,74.97
Jackson Parish, Louisiana,75.11
Jefferson Davis Parish, Louisiana,74.83
Jefferson Parish, Louisiana,77.04
LaSalle Parish, Louisiana,74.85
Lafayette Parish, Louisiana,77.11
Lafourche Parish, Louisiana,76.89
Lincoln Parish, Louisiana,77.38
Livingston Parish, Louisiana,75.82
Madison Parish, Louisiana,71.79
Morehouse Parish, Louisiana,73.04
Natchitoches Parish, Louisiana,75.41
Orleans Parish, Louisiana,75.22
Ouachita Parish, Louisiana,75.53
Plaquemines Parish, Louisiana,76.54
Pointe Coupee Parish, Louisiana,75.99
Rapides Parish, Louisiana,75.25
Red River Parish, Louisiana,74.18
Richland Parish, Louisiana,74.20
Sabine Parish, Louisiana,75.46
Saint Bernard Parish, Louisiana,74.19
Saint Charles Parish, Louisiana,76.84
Saint Helena Parish, Louisiana,74.77
Saint James Parish, Louisiana,76.42
Saint John the Baptist Parish, Louisiana,74.97
Saint Landry Parish, Louisiana,74.20
Saint Martin Parish, Louisiana,76.11
Saint Mary Parish, Louisiana,75.01
Saint Tammany Parish, Louisiana,77.64
Tangipahoa Parish, Louisiana,74.18
Tensas Parish, Louisiana,74.25
Terrebonne Parish, Louisiana,75.36
Union Parish, Louisiana,75.20
Vermilion Parish, Louisiana,76.51
Vernon Parish, Louisiana,76.16
Washington Parish, Louisiana,73.01
Webster Parish, Louisiana,74.14
West Baton Rouge Parish, Louisiana,75.98
West Carroll Parish, Louisiana,75.26
West Feliciana Parish, Louisiana,76.81
Winn Parish, Louisiana,74.45
Androscoggin County, Maine,78.07
Aroostook County, Maine,78.59
Cumberland County, Maine,80.21
Franklin County, Maine,79.21
Hancock County, Maine,79.66
Kennebec County, Maine,78.29
Knox County, Maine,80.00
Lincoln County, Maine,80.00
Oxford County, Maine,78.52
Penobscot County, Maine,78.46
Piscataquis County, Maine,77.91
Sagadahoc County, Maine,79.86
Somerset County, Maine,77.79
Waldo County, Maine,79.12
Washington County, Maine,77.16
York County, Maine,80.05
Allegany County, Maryland,77.52
Anne Arundel County, Maryland,79.11
Baltimore City, Maryland,72.48
Baltimore County, Maryland,78.99
Calvert County, Maryland,79.02
Caroline County, Maryland,76.60
Carroll County, Maryland,79.16
Cecil County, Maryland,76.98
Charles County, Maryland,78.18
Dorchester County, Maryland,76.95
Frederick County, Maryland,80.40
Garrett County, Maryland,78.60
Harford County, Maryland,79.32
Howard County, Maryland,82.37
Kent County, Maryland,78.76
Montgomery County, Maryland,80.68
Prince George's County, Maryland,80.68
Queen Anne's County, Maryland,79.76
Saint Mary's County, Maryland,78.66
Somerset County, Maryland,76.62
Talbot County, Maryland,80.22
Washington County, Maryland,78.15
Wicomico County, Maryland,77.07
Worcester County, Maryland,78.99
Barnstable County, Massachusetts,80.60
Berkshire County, Massachusetts,80.13
Bristol County, Massachusetts,79.29
Dukes County, Massachusetts,81.64
Essex County, Massachusetts,80.47
Franklin County, Massachusetts,80.20
Hampden County, Massachusetts,78.72
Hampshire County, Massachusetts,80.59
Middlesex County, Massachusetts,81.33
Nantucket County, Massachusetts,81.17
Norfolk County, Massachusetts,81.31
Plymouth County, Massachusetts,79.40
Suffolk County, Massachusetts,79.21
Worcester County, Massachusetts,79.65
Alcona County, Michigan,78.08
Alger County, Michigan,79.18
Allegan County, Michigan,79.03
Alpena County, Michigan,78.49
Antrim County, Michigan,79.78
Arenac County, Michigan,77.08
Baraga County, Michigan,77.77
Barry County, Michigan,79.20
Bay County, Michigan,78.40
Benzie County, Michigan,79.54
Berrien County, Michigan,77.92
Branch County, Michigan,77.81
Calhoun County, Michigan,76.46
Cass County, Michigan,78.23
Charlevoix County, Michigan,79.84
Cheboygan County, Michigan,79.11
Chippewa County, Michigan,79.48
Clare County, Michigan,76.20
Clinton County, Michigan,80.51
Crawford County, Michigan,77.83
Delta County, Michigan,79.47
Dickinson County, Michigan,79.64
Eaton County, Michigan,79.55
Emmet County, Michigan,79.95
Genesee County, Michigan,76.43
Gladwin County, Michigan,77.55
Gogebic County, Michigan,78.42
Grand Traverse County, Michigan,80.37
Gratiot County, Michigan,78.26
Hillsdale County, Michigan,78.34
Houghton County, Michigan,78.87
Huron County, Michigan,78.53
Ingham County, Michigan,78.90
Ionia County, Michigan,78.33
Iosco County, Michigan,77.48
Iron County, Michigan,79.11
Isabella County, Michigan,78.94
Jackson County, Michigan,77.99
Kalamazoo County, Michigan,78.76
Kalkaska County, Michigan,77.77
Kent County, Michigan,79.79
Keweenaw County, Michigan,79.67
Lake County, Michigan,76.73
Lapeer County, Michigan,78.49
Leelanau County, Michigan,82.73
Lenawee County, Michigan,78.77
Livingston County, Michigan,80.05
Luce County, Michigan,78.30
Mackinac County, Michigan,78.78
Macomb County, Michigan,78.73
Manistee County, Michigan,78.73
Marquette County, Michigan,79.28
Mason County, Michigan,78.62
Mecosta County, Michigan,79.00
Menominee County, Michigan,79.46
Midland County, Michigan,80.43
Missaukee County, Michigan,78.47
Monroe County, Michigan,78.38
Montcalm County, Michigan,77.81
Montmorency County, Michigan,77.32
Muskegon County, Michigan,77.59
Newaygo County, Michigan,77.91
Oakland County, Michigan,79.89
Oceana County, Michigan,78.71
Ogemaw County, Michigan,76.69
Ontonagon County, Michigan,78.25
Osceola County, Michigan,78.22
Oscoda County, Michigan,77.31
Otsego County, Michigan,78.97
Ottawa County, Michigan,81.45
Presque Isle County, Michigan,79.42
Roscommon County, Michigan,77.12
Saginaw County, Michigan,77.58
Saint Clair County, Michigan,77.71
Saint Joseph County, Michigan,77.35
Sanilac County, Michigan,78.27
Schoolcraft County, Michigan,78.49
Shiawassee County, Michigan,77.84
Tuscola County, Michigan,78.01
Van Buren County, Michigan,77.51
Washtenaw County, Michigan,80.73
Wayne County, Michigan,75.16
Wexford County, Michigan,77.77
Aitkin County, Minnesota,80.15
Anoka County, Minnesota,80.84
Becker County, Minnesota,78.82
Beltrami County, Minnesota,78.39
Benton County, Minnesota,79.41
Big Stone County, Minnesota,79.79
Blue Earth County, Minnesota,80.89
Brown County, Minnesota,81.35
Carlton County, Minnesota,78.47
Carver County, Minnesota,82.48
Cass County, Minnesota,78.62
Chippewa County, Minnesota,80.63
Chisago County, Minnesota,80.15
Clay County, Minnesota,80.56
Clearwater County, Minnesota,78.51
Cook County, Minnesota,81.66
Cottonwood County, Minnesota,81.13
Crow Wing County, Minnesota,80.33
Dakota County, Minnesota,81.57
Dodge County, Minnesota,81.49
Douglas County, Minnesota,81.37
Faribault County, Minnesota,80.41
Fillmore County, Minnesota,81.01
Freeborn County, Minnesota,80.75
Goodhue County, Minnesota,80.37
Grant County, Minnesota,80.17
Hennepin County, Minnesota,80.70
Houston County, Minnesota,81.55
Hubbard County, Minnesota,80.45
Isanti County, Minnesota,80.35
Itasca County, Minnesota,79.18
Jackson County, Minnesota,81.58
Kanabec County, Minnesota,79.87
Kandiyohi County, Minnesota,81.11
Kittson County, Minnesota,79.04
Koochiching County, Minnesota,78.99
Lac qui Parle County, Minnesota,81.04
Lake County, Minnesota,79.73
Lake of the Woods County, Minnesota,79.92
Le Sueur County, Minnesota,81.26
Lincoln County, Minnesota,80.38
Lyon County, Minnesota,80.70
Mahnomen County, Minnesota,76.68
Marshall County, Minnesota,81.68
Martin County, Minnesota,81.17
McLeod County, Minnesota,81.07
Meeker County, Minnesota,80.55
Mille Lacs County, Minnesota,78.63
Morrison County, Minnesota,80.22
Mower County, Minnesota,81.50
Murray County, Minnesota,81.47
Nicollet County, Minnesota,81.78
Nobles County, Minnesota,81.47
Norman County, Minnesota,79.14
Olmsted County, Minnesota,82.08
Otter Tail County, Minnesota,80.47
Pennington County, Minnesota,79.61
Pine County, Minnesota,79.22
Pipestone County, Minnesota,80.30
Polk County, Minnesota,78.88
Pope County, Minnesota,80.71
Ramsey County, Minnesota,79.89
Red Lake County, Minnesota,79.26
Redwood County, Minnesota,80.01
Renville County, Minnesota,79.60
Rice County, Minnesota,80.97
Rock County, Minnesota,79.87
Roseau County, Minnesota,80.03
Saint Louis County, Minnesota,78.98
Scott County, Minnesota,81.71
Sherburne County, Minnesota,80.69
Sibley County, Minnesota,80.80
Stearns County, Minnesota,82.06
Steele County, Minnesota,81.58
Stevens County, Minnesota,81.89
Swift County, Minnesota,80.92
Todd County, Minnesota,80.56
Traverse County, Minnesota,80.90
Wabasha County, Minnesota,81.37
Wadena County, Minnesota,78.76
Waseca County, Minnesota,81.39
Washington County, Minnesota,81.69
Watonwan County, Minnesota,80.67
Wilkin County, Minnesota,79.59
Winona County, Minnesota,80.85
Wright County, Minnesota,80.94
Yellow Medicine County, Minnesota,80.75
Adams County, Mississippi,74.07
Alcorn County, Mississippi,74.57
Amite County, Mississippi,76.34
Attala County, Mississippi,73.72
Benton County, Mississippi,74.91
Bolivar County, Mississippi,71.67
Calhoun County, Mississippi,74.86
Carroll County, Mississippi,76.91
Chickasaw County, Mississippi,75.45
Choctaw County, Mississippi,76.42
Claiborne County, Mississippi,73.36
Clarke County, Mississippi,75.17
Clay County, Mississippi,75.22
Coahoma County, Mississippi,71.35
Copiah County, Mississippi,74.47
Covington County, Mississippi,73.84
DeSoto County, Mississippi,76.88
Forrest County, Mississippi,74.56
Franklin County, Mississippi,75.11
George County, Mississippi,73.39
Greene County, Mississippi,75.13
Grenada County, Mississippi,73.19
Hancock County, Mississippi,76.40
Harrison County, Mississippi,75.28
Hinds County, Mississippi,75.63
Holmes County, Mississippi,71.28
Humphreys County, Mississippi,71.96
Issaquena County, Mississippi,75.59
Itawamba County, Mississippi,74.89
Jackson County, Mississippi,75.63
Jasper County, Mississippi,75.04
Jefferson County, Mississippi,73.42
Jefferson Davis County, Mississippi,73.73
Jones County, Mississippi,75.23
Kemper County, Mississippi,76.51
Lafayette County, Mississippi,76.68
Lamar County, Mississippi,77.67
Lauderdale County, Mississippi,74.69
Lawrence County, Mississippi,73.89
Leake County, Mississippi,73.17
Lee County, Mississippi,74.78
Leflore County, Mississippi,72.74
Lincoln County, Mississippi,74.66
Lowndes County, Mississippi,76.17
Madison County, Mississippi,73.67
Marion County, Mississippi,72.71
Marshall County, Mississippi,73.60
Monroe County, Mississippi,75.73
Montgomery County, Mississippi,73.78
Neshoba County, Mississippi,73.48
Newton County, Mississippi,74.56
Noxubee County, Mississippi,74.87
Oktibbeha County, Mississippi,77.85
Panola County, Mississippi,73.14
Pearl River County, Mississippi,74.85
Perry County, Mississippi,74.38
Pike County, Mississippi,73.50
Pontotoc County, Mississippi,77.13
Prentiss County, Mississippi,75.89
Quitman County, Mississippi,71.48
Rankin County, Mississippi,77.90
Scott County, Mississippi,74.04
Sharkey County, Mississippi,72.81
Simpson County, Mississippi,74.21
Smith County, Mississippi,75.17
Stone County, Mississippi,73.97
Sunflower County, Mississippi,71.58
Tallahatchie County, Mississippi,73.97
Tate County, Mississippi,75.04
Tippah County, Mississippi,74.28
Tishomingo County, Mississippi,74.06
Tunica County, Mississippi,71.05
Union County, Mississippi,76.26
Walthall County, Mississippi,74.57
Warren County, Mississippi,74.29
Washington County, Mississippi,71.77
Wayne County, Mississippi,74.62
Webster County, Mississippi,73.41
Wilkinson County, Mississippi,72.43
Winston County, Mississippi,75.25
Yalobusha County, Mississippi,73.59
Yazoo County, Mississippi,73.67
Adair County, Missouri,78.16
Andrew County, Missouri,78.87
Atchison County, Missouri,78.30
Audrain County, Missouri,77.51
Barry County, Missouri,76.90
Barton County, Missouri,78.01
Bates County, Missouri,76.98
Benton County, Missouri,76.70
Bollinger County, Missouri,76.45
Boone County, Missouri,79.54
Buchanan County, Missouri,76.73
Butler County, Missouri,74.41
Caldwell County, Missouri,77.55
Callaway County, Missouri,77.75
Camden County, Missouri,78.80
Cape Girardeau County, Missouri,78.53
Carroll County, Missouri,77.46
Carter County, Missouri,74.02
Cass County, Missouri,78.19
Cedar County, Missouri,76.78
Chariton County, Missouri,78.69
Christian County, Missouri,79.16
Clark County, Missouri,77.36
Clay County, Missouri,79.00
Clinton County, Missouri,76.76
Cole County, Missouri,78.66
Cooper County, Missouri,78.01
Crawford County, Missouri,76.21
Dade County, Missouri,77.09
Dallas County, Missouri,77.01
Daviess County, Missouri,77.54
DeKalb County, Missouri,78.42
Dent County, Missouri,76.10
Douglas County, Missouri,77.63
Dunklin County, Missouri,73.02
Franklin County, Missouri,77.17
Gasconade County, Missouri,77.64
Gentry County, Missouri,78.37
Greene County, Missouri,77.97
Grundy County, Missouri,77.57
Harrison County, Missouri,78.53
Henry County, Missouri,76.51
Hickory County, Missouri,77.33
Holt County, Missouri,79.05
Howard County, Missouri,78.61
Howell County, Missouri,76.04
Iron County, Missouri,73.14
Jackson County, Missouri,76.94
Jasper County, Missouri,76.40
Jefferson County, Missouri,76.44
Johnson County, Missouri,78.30
Knox County, Missouri,77.48
Laclede County, Missouri,76.51
Lafayette County, Missouri,77.58
Lawrence County, Missouri,77.02
Lewis County, Missouri,77.49
Lincoln County, Missouri,77.23
Linn County, Missouri,77.06
Livingston County, Missouri,78.05
Macon County, Missouri,77.53
Madison County, Missouri,75.06
Maries County, Missouri,77.42
Marion County, Missouri,77.12
McDonald County, Missouri,75.13
Mercer County, Missouri,78.82
Miller County, Missouri,76.63
Mississippi County, Missouri,73.55
Moniteau County, Missouri,78.12
Monroe County, Missouri,78.38
Montgomery County, Missouri,76.92
Morgan County, Missouri,76.26
New Madrid County, Missouri,73.82
Newton County, Missouri,77.22
Nodaway County, Missouri,79.83
Oregon County, Missouri,76.10
Osage County, Missouri,78.78
Ozark County, Missouri,76.33
Pemiscot County, Missouri,72.21
Perry County, Missouri,78.59
Pettis County, Missouri,77.90
Phelps County, Missouri,77.27
Pike County, Missouri,77.29
Platte County, Missouri,80.13
Polk County, Missouri,76.63
Pulaski County, Missouri,76.49
Putnam County, Missouri,77.77
Ralls County, Missouri,79.23
Randolph County, Missouri,76.54
Ray County, Missouri,76.68
Reynolds County, Missouri,75.58
Ripley County, Missouri,74.51
Saint Charles County, Missouri,80.15
Saint Clair County, Missouri,76.73
Saint Francois County, Missouri,75.06
Saint Louis City, Missouri,73.66
Saint Louis County, Missouri,79.26
Sainte Genevieve County, Missouri,78.58
Saline County, Missouri,77.24
Schuyler County, Missouri,78.04
Scotland County, Missouri,78.00
Scott County, Missouri,75.80
Shannon County, Missouri,76.19
Shelby County, Missouri,78.03
Stoddard County, Missouri,76.28
Stone County, Missouri,78.91
Sullivan County, Missouri,76.94
Taney County, Missouri,78.03
